"app name","APK","occurrences"
"weather & radar","de.wetteronline.wetterapp","361739"
"block blast!","com.block.juggle","341006"
"happy color®: coloring book","com.pixel.art.coloring.color.number","217267"
"candy crush saga","com.king.candycrushsaga","185699"
"words of wonders: crossword","com.fugo.wow","145774"
"vita mahjong","com.vitastudio.mahjong","127823"
"number match - number games","com.easybrain.number.puzzle.game","90414"
"wordscapes","com.peoplefun.wordcross","68582"
"mahjong club - solitaire game","com.gamovation.mahjongclub","55495"
"woodle screw jam: nuts & bolts","com.wood.bolt.wordle.screw.nuts.puzzle","50683"
"tile club - match puzzle game","com.gamovation.tileclub","48877"
"qblock: wood block puzzle game","puzzle.blockpuzzle.cube.relax","45093"
"jigsawscapes® - jigsaw puzzles","jigsaw.puzzle.game.banana","45040"
"pizza ready!","io.supercent.pizzaidle","44204"
"jigsaw puzzles - puzzle games","com.easybrain.jigsaw.puzzles","41236"
"vinted - buy and sell clothes","fr.vinted","39786"
"zen word® - relax puzzle game","kidultlovin.word.zen","39545"
"nuts — color sort puzzle games","com.zm.nuts","39434"
"hexa sort","com.gamebrain.hexasort","39245"
"wattpad - read & write stories","wp.wattpad","38843"
"imo-international calls & chat","com.imo.android.imoim","38683"
"sudoku - classic sudoku puzzle","easy.sudoku.puzzle.solver.free","38430"
"word search explorer","in.playsimple.wordsearch","38406"
"crossword master - word puzzle","com.easybrain.crossword.puzzles","37740"
""leboncoin"," petites annonces"","fr.leboncoin","36284"
"tile family®:match puzzle game","com.tile.match.blockpuzzle","36126"
"bus out","com.ig.bus.out","36106"
"sudoku.com - classic sudoku","com.easybrain.sudoku.android","35306"
"candy crush soda saga","com.king.candycrushsodasaga","35059"
"art puzzle - jigsaw art games","com.easybrain.art.puzzle","35002"
"supermarket store 3d simulator","com.playspare.supermarket.store.simulator","34141"
"cat chaos: prankster","com.become.acat.simulator.mr","33420"
"blockudoku®: block puzzle game","com.easybrain.block.puzzle.games","33315"
"paint by number: coloring game","paint.by.number.pixel.art.coloring.drawing.puzzle","33164"
"lovoo - dating app & chat app","net.lovoo.android","31190"
"cake sort - color puzzle game","com.falcon.dm.water.cake.sort.puzzle","31136"
"nonogram.com - picture cross","com.easybrain.nonogram","31125"
"solitaire - classic card games","solitaire.patience.card.games.klondike.free","30975"
"kleinanzeigen - without ebay","com.ebay.kleinanzeigen","28903"
"imo hd - video calls and chats","com.imo.android.imoimhd","26771"
"besoccer - soccer live score","com.resultadosfutbol.mobile","26434"
"crossword jam","in.playsimple.tripcross","26407"
